,SEQN,ACD011A,ACD011B,ACD011C,ACD040,ACD110
667,63133.0,,,,3.0,
668,63134.0,,,,1.0,
669,63135.0,1.0,,,,
670,63136.0,1.0,,,,
671,63137.0,,,,,5.0
672,63138.0,1.0,,,,
673,63139.0,1.0,,,,
674,63141.0,1.0,,9.0,,
675,63142.0,1.0,,,,
676,63143.0,,,,,1.0
677,63145.0,,,9.0,,
678,63147.0,1.0,,,,
679,63148.0,,,,1.0,
680,63149.0,1.0,,,,
681,63150.0,1.0,,,,
682,63151.0,1.0,,,,
683,63152.0,,,,,1.0
684,63154.0,,,,1.0,
685,63155.0,1.0,,,,
686,63156.0,1.0,,,,
687,63157.0,1.0,,,,
688,63159.0,1.0,,,,
689,63160.0,1.0,,,,
690,63161.0,,,,1.0,
691,63162.0,1.0,,,,
692,63163.0,1.0,,,,
693,63164.0,,,,1.0,
694,63165.0,1.0,,,,
695,63166.0,1.0,,,,
696,63167.0,,,,,5.0
697,63169.0,1.0,,,,
698,63170.0,,,,1.0,
699,63171.0,,,,,3.0
700,63172.0,,,,1.0,
701,63173.0,,,,,5.0
702,63174.0,,,,4.0,
703,63175.0,1.0,,,,
704,63176.0,1.0,,,,
705,63177.0,1.0,,,,
706,63178.0,1.0,,,,
707,63180.0,,,,,3.0
708,63181.0,,,,4.0,
709,63182.0,1.0,,,,
710,63183.0,1.0,,,,
711,63187.0,1.0,,,,
712,63188.0,1.0,,,,
713,63190.0,1.0,,,,
714,63191.0,1.0,,,,
715,63192.0,1.0,,,,
716,63193.0,1.0,,,,
717,63194.0,,,,,1.0
718,63195.0,,,,1.0,
719,63196.0,,,9.0,,
720,63197.0,1.0,,,,
721,63198.0,,,9.0,,
722,63199.0,1.0,,,,
723,63200.0,1.0,,,,
724,63203.0,1.0,,,,
725,63204.0,1.0,,,,
726,63205.0,1.0,,,,
727,63206.0,1.0,,,,
728,63208.0,1.0,,,,
729,63209.0,1.0,,,,
730,63211.0,1.0,,,,
731,63212.0,1.0,,,,
732,63213.0,,,,,2.0
733,63214.0,,,,1.0,
734,63215.0,1.0,,,,
735,63216.0,,,,3.0,
736,63218.0,,,,1.0,
737,63219.0,,,,,5.0
738,63220.0,1.0,,,,
739,63221.0,,,,3.0,
740,63222.0,1.0,,,,
741,63223.0,1.0,,,,
742,63224.0,,,,3.0,
743,63225.0,1.0,,9.0,,
744,63227.0,,,,1.0,
745,63228.0,,,,3.0,
746,63229.0,1.0,,,,
747,63230.0,,,,,1.0
748,63231.0,,,,1.0,
749,63232.0,1.0,,,,
750,63233.0,1.0,,,,
751,63234.0,,,,,5.0
752,63235.0,,,,4.0,
753,63236.0,,,,3.0,
754,63238.0,,,,1.0,
755,63242.0,,,,1.0,
756,63245.0,1.0,,,,
757,63246.0,1.0,,,,
758,63247.0,1.0,,,,
759,63248.0,1.0,,,,
760,63249.0,1.0,,,,
761,63250.0,1.0,,,,
762,63251.0,,,,,1.0
763,63253.0,1.0,,9.0,,
764,63254.0,,,,1.0,
765,63255.0,1.0,,,,
766,63260.0,1.0,,,,
767,63261.0,1.0,,,,
768,63262.0,,,,1.0,
769,63263.0,,,,2.0,
770,63264.0,,,,,2.0
